,IdE,NombreE,ApellidoE,FechaNacE,EdadE,GeneroE
0,E00000001,Martha,Bermúdez,2020-01-01,2,Femenino
1,E00000002,Fabián,Giraldo,2018-09-13,4,Masculino
2,E00000003,José,Cárdenas,2018-12-17,3,Masculino
3,E00000004,Lina,Becerra,2019-07-17,3,Femenino
4,E00000005,Alexander,Ramírez,2017-10-03,5,Masculino
5,E00000006,Alberto,Cortés,2020-06-18,2,Masculino
6,E00000007,Iván,Rincón,2020-01-27,2,Masculino
7,E00000008,Alexandra,Ramírez,2020-07-23,2,Femenino
8,E00000009,Jefferson,Castro,2020-02-12,2,Masculino
9,E00000010,Alba,Guerrero,2018-10-07,4,Femenino
10,E00000011,Yurany,Suárez,2018-07-04,4,Femenino
11,E00000012,César,Bernal,2020-01-15,2,Masculino
12,E00000013,Andrés,González,2019-06-09,3,Masculino
13,E00000014,Cristian,Valencia,2017-12-06,4,Masculino
14,E00000015,Harvey,León,2018-09-02,4,Masculino
15,E00000016,Orlando,Meza,2018-03-08,4,Masculino
16,E00000017,Jorge,Pérez,2019-06-05,3,Masculino
17,E00000018,Edgar,Páez,2019-03-03,3,Masculino
18,E00000019,Lida,Herrera,2019-08-05,3,Femenino
19,E00000020,Diego,Romero,2017-10-10,5,Masculino
20,E00000021,Yeny,Ortiz,2019-07-26,3,Femenino
21,E00000022,Catherine,Navarro,2019-04-15,3,Femenino
22,E00000023,Wilson,Cano,2020-02-13,2,Masculino
23,E00000024,Luis,Domínguez,2019-04-14,3,Masculino
24,E00000025,Paola,Orjuela,2019-10-29,3,Femenino
25,E00000026,Luis,Marín,2018-02-22,4,Masculino
26,E00000027,Nancy,Moreno,2018-10-31,4,Femenino
27,E00000028,Santiago,Valencia,2020-03-11,2,Masculino
28,E00000029,Alex,Cárdenas,2019-03-25,3,Masculino
29,E00000030,Marlene,Ceballos,2018-02-15,4,Femenino
30,E00000031,Carmen,Parra,2018-10-29,4,Femenino
31,E00000032,Marcela,Salazar,2018-08-13,4,Femenino
32,E00000033,José,Ávila,2018-07-14,4,Masculino
33,E00000034,Dario,Castro,2017-11-06,5,Masculino
34,E00000035,Juan,Rodríguez,2018-07-23,4,Masculino
35,E00000036,Sandra,Amaya,2019-11-14,3,Femenino
36,E00000037,Andrés,Buitrago,2019-05-28,3,Masculino
37,E00000038,Luis,Valencia,2019-11-17,3,Masculino
38,E00000039,Julia,Orozco,2020-01-05,2,Femenino
39,E00000040,Andrés,Beltrán,2019-09-05,3,Masculino
40,E00000041,Paula,Acosta,2019-06-08,3,Femenino
41,E00000042,Luis,Mejía,2017-10-20,5,Masculino
42,E00000043,Amparo,Monsalve,2019-09-09,3,Femenino
43,E00000044,Graciela,Uribe,2019-12-01,3,Femenino
44,E00000045,Raúl,Sánchez,2019-08-15,3,Masculino
45,E00000046,Daniel,García,2019-07-01,3,Masculino
46,E00000047,Alfredo,Camacho,2017-12-11,4,Masculino
47,E00000048,Francisco,Pérez,2018-01-25,4,Masculino
48,E00000049,Antonio,Ruiz,2019-01-26,3,Masculino
49,E00000050,Yadira,Sánchez,2020-04-08,2,Femenino
50,E00000051,Nora,Jiménez,2018-03-31,4,Femenino
51,E00000052,Arley,Rengifo,2020-01-12,2,Masculino
52,E00000053,Ana,Hernández,2018-04-16,4,Femenino
53,E00000054,Patricia,Ocampo,2019-07-29,3,Femenino
54,E00000055,Clara,Cárdenas,2019-01-17,3,Femenino
55,E00000056,Antonio,Mena,2020-07-05,2,Masculino
56,E00000057,Adriana,Loaiza,2019-03-21,3,Femenino
57,E00000058,Nury,García,2017-09-14,5,Femenino
58,E00000059,César,Sánchez,2017-11-05,5,Masculino
59,E00000060,Paola,Pedraza,2020-06-08,2,Femenino
60,E00000061,Carmen,Gómez,2018-02-06,4,Femenino
61,E00000062,Olga,Zuluaga,2018-08-26,4,Femenino
62,E00000063,Diego,Medina,2020-01-14,2,Masculino
63,E00000064,Luisa,Beltrán,2018-02-12,4,Femenino
64,E00000065,Didier,Arrieta,2020-02-18,2,Masculino
65,E00000066,Alexander,Duque,2017-10-19,5,Masculino
66,E00000067,Isidro,León,2018-07-11,4,Masculino
67,E00000068,Augusto,Castro,2017-11-07,5,Masculino
68,E00000069,Jhon,Murillo,2018-03-25,4,Masculino
69,E00000070,Pablo,Rodríguez,2019-08-17,3,Masculino
70,E00000071,Alfredo,Díaz,2019-01-16,3,Masculino
71,E00000072,Lucía,Rojas,2020-01-05,2,Femenino
72,E00000073,Omar,Mora,2017-11-18,5,Masculino
73,E00000074,Diana,Osorio,2017-12-17,4,Femenino
74,E00000075,Alexander,Benítez,2017-12-29,4,Masculino
75,E00000076,Edinson,Hoyos,2019-05-30,3,Masculino
76,E00000077,Margarita,Álvarez,2019-05-19,3,Femenino
77,E00000078,Alexander,Gómez,2019-10-01,3,Masculino
78,E00000079,Luis,Calderón,2020-08-22,2,Masculino
79,E00000080,Armando,González,2019-04-02,3,Masculino
80,E00000081,Javier,Quiroga,2019-10-10,3,Masculino
81,E00000082,Jhon,Cruz,2018-02-20,4,Masculino
82,E00000083,Nayibe,Mercado,2020-05-26,2,Femenino
83,E00000084,Antonio,López,2019-01-15,3,Masculino
84,E00000085,Nelson,Hernández,2018-11-26,4,Masculino
85,E00000086,Marina,Burbano,2018-11-15,4,Femenino
86,E00000087,Jesús,Martínez,2019-05-28,3,Masculino
87,E00000088,Javier,Hurtado,2018-10-13,4,Masculino
88,E00000089,Yury,García,2019-01-31,3,Femenino
89,E00000090,Sofía,Salgado,2020-06-13,2,Femenino
90,E00000091,Esther,Becerra,2019-05-10,3,Femenino
91,E00000092,Ángel,Cano,2018-09-28,4,Masculino
92,E00000093,Carlos,López,2018-07-24,4,Masculino
93,E00000094,Nelcy,Vargas,2019-11-03,3,Femenino
94,E00000095,Elvia,Molina,2018-08-10,4,Femenino
95,E00000096,Emilia,Moreno,2018-04-24,4,Femenino
96,E00000097,Rafael,Martínez,2019-11-22,3,Masculino
97,E00000098,James,Vargas,2019-08-29,3,Masculino
98,E00000099,Nelson,Pulido,2018-01-30,4,Masculino
99,E00000100,Alexander,Martínez,2020-02-07,2,Masculino
100,E00000101,Fredy,Cabrera,2020-05-11,2,Masculino
101,E00000102,Adela,Salazar,2020-06-23,2,Femenino
102,E00000103,María,Carvajal,2017-12-15,4,Femenino
103,E00000104,Erika,Andrade,2018-03-17,4,Femenino
104,E00000105,Oswaldo,Moreno,2019-08-12,3,Masculino
105,E00000106,Eduardo,Acosta,2018-08-29,4,Masculino
106,E00000107,José,López,2019-06-15,3,Masculino
107,E00000108,Alicia,Acosta,2020-08-20,2,Femenino
108,E00000109,Luis,Patiño,2018-02-17,4,Masculino
109,E00000110,Hernán,Pineda,2020-01-24,2,Masculino
110,E00000111,Andrés,Marín,2018-06-13,4,Masculino
