,IdR,NombreR,ApellidoR,FechaNacR,EdadR,GeneroR,TelefonoR
0,R00000001,Miguel,Naranjo,1984-03-26,38,Masculino,0984296273
1,R00000002,Josefina,Herrera,1996-03-25,26,Femenino,0981589097
2,R00000003,Ángel,Gutiérrez,1983-03-21,39,Masculino,0987151056
3,R00000004,Natalia,Hernández,1990-05-25,32,Femenino,0981217120
4,R00000005,Blanca,Ruiz,1990-12-03,32,Femenino,0985698124
5,R00000006,Gloria,Moreno,1991-05-03,31,Femenino,0986156267
6,R00000007,Fernando,Hernández,1997-04-29,25,Masculino,0986906623
7,R00000008,Alberto,Villamizar,1984-07-09,38,Masculino,0985177564
8,R00000009,Andrea,Arboleda,1991-07-22,31,Femenino,0989506630
9,R00000010,Lucía,Bejarano,1986-12-05,36,Femenino,0986687488
10,R00000011,Manuel,Rojas,1991-03-31,31,Masculino,0981299537
11,R00000012,María,Garzón,1973-12-17,48,Femenino,0984991831
12,R00000013,Alberto,Muñoz,1975-10-25,47,Masculino,0985837147
13,R00000014,Daniela,Carrillo,1992-11-24,30,Femenino,0983731520
14,R00000015,Tatiana,Mena,1992-11-29,30,Femenino,0982824942
15,R00000016,Wilmer,Castro,1988-02-19,34,Masculino,0984366516
16,R00000017,Lucía,Sánchez,1982-07-03,40,Femenino,0987617344
17,R00000018,Andrés,Sánchez,1984-03-05,38,Masculino,0985403542
18,R00000019,Jonathan,Salazar,1987-09-27,35,Masculino,0985629886
19,R00000020,David,Sánchez,1992-08-26,30,Masculino,0984356943
20,R00000021,María,Londoño,1973-10-25,49,Femenino,0981834052
21,R00000022,Olga,Guzmán,1985-09-26,37,Femenino,0984759174
22,R00000023,Carlos,Álvarez,1994-04-14,28,Masculino,0980628243
23,R00000024,Antonio,Navarro,1984-06-15,38,Masculino,0988226347
24,R00000025,Alexander,Medina,1975-12-11,46,Masculino,0981385794
25,R00000026,Luis,González,1974-03-09,48,Masculino,0984611648
26,R00000027,Lucía,Mesa,1983-05-18,39,Femenino,0984527248
27,R00000028,Paul,Sánchez,1987-03-25,35,Masculino,0980886747
28,R00000029,Dario,Moreno,1976-12-09,45,Masculino,0987298597
29,R00000030,Felipe,Melo,1973-09-10,49,Masculino,0988857052
30,R00000031,Alfonso,Hernández,1986-06-15,36,Masculino,0985209489
31,R00000032,Enrique,Morales,1975-10-30,47,Masculino,0986107696
32,R00000033,Consuelo,Fuentes,1978-11-24,44,Femenino,0987346037
33,R00000034,Ruby,Pérez,1979-05-03,43,Femenino,0988322766
34,R00000035,Alix,Ospina,1981-11-30,41,Femenino,0984674638
35,R00000036,Jorge,Arias,1976-09-01,46,Masculino,0984598039
36,R00000037,Alejandro,Reyes,1996-12-06,25,Masculino,0982165618
37,R00000038,Leonardo,Castro,1984-10-13,38,Masculino,0980407970
38,R00000039,Francisco,González,1981-10-07,41,Masculino,0988662117
39,R00000040,Juan,García,1977-04-17,45,Masculino,0988936075
40,R00000041,David,Bermúdez,1980-01-18,42,Masculino,0989696638
41,R00000042,Luis,Ariza,1977-10-01,45,Masculino,0984187579
42,R00000043,Steven,Bohórquez,1979-03-12,43,Masculino,0988484952
43,R00000044,Alejandro,Morales,1995-12-04,27,Masculino,0985919489
44,R00000045,Andrés,Palacio,1975-05-08,47,Masculino,0987555361
45,R00000046,Julio,Leal,1991-01-10,31,Masculino,0986696415
46,R00000047,Leandro,Carmona,1996-08-12,26,Masculino,0989383771
47,R00000048,Laura,Rentería,1983-01-28,39,Femenino,0982475619
48,R00000049,Wilson,García,1993-12-27,28,Masculino,0988465028
