,IdU,NombreU,PasswordU,FotoU,EstadoU
0,U00000001,martha_bermúdez@educacion.edu.ec,4205*3233,https://www.mcb.edu.ec/martha_bermúdez.png,Activo
1,U00000002,fabián.giraldo@educacion.edu.ec,8483*1017,https://www.mcb.edu.ec/fabián_giraldo.png,Activo
2,U00000003,josé.cárdenas@educacion.edu.ec,6229*262,https://www.mcb.edu.ec/josé_cárdenas.png,Inactivo
3,U00000004,lina_becerra@educacion.edu.ec,3684*9665,https://www.mcb.edu.ec/lina_becerra.png,Activo
4,U00000005,alexander_ramírez@educacion.edu.ec,1358*533,https://www.mcb.edu.ec/alexander_ramírez.png,Inactivo
5,U00000006,alberto.cortés@educacion.edu.ec,4849*5165,https://www.mcb.edu.ec/alberto_cortés.png,Inactivo
6,U00000007,iván.rincón@educacion.edu.ec,9416*1755,https://www.mcb.edu.ec/iván_rincón.png,Inactivo
7,U00000008,alexandra_ramírez@educacion.edu.ec,0*8670,https://www.mcb.edu.ec/alexandra_ramírez.png,Inactivo
8,U00000009,jefferson.castro@educacion.edu.ec,4836*4842,https://www.mcb.edu.ec/jefferson_castro.png,Inactivo
9,U00000010,alba.guerrero@educacion.edu.ec,9432*8110,https://www.mcb.edu.ec/alba_guerrero.png,Activo
10,U00000011,yurany.suárez@educacion.edu.ec,3470*2681,https://www.mcb.edu.ec/yurany_suárez.png,Inactivo
11,U00000012,césar.bernal@educacion.edu.ec,699*8202,https://www.mcb.edu.ec/césar_bernal.png,Inactivo
12,U00000013,andrés_gonzález@educacion.edu.ec,92*2917,https://www.mcb.edu.ec/andrés_gonzález.png,Inactivo
13,U00000014,cristian.valencia@educacion.edu.ec,5802*4567,https://www.mcb.edu.ec/cristian_valencia.png,Activo
14,U00000015,harvey.león@educacion.edu.ec,9764*4071,https://www.mcb.edu.ec/harvey_león.png,Activo
15,U00000016,orlando_meza@educacion.edu.ec,373*3199,https://www.mcb.edu.ec/orlando_meza.png,Inactivo
16,U00000017,jorge_pérez@educacion.edu.ec,6887*7629,https://www.mcb.edu.ec/jorge_pérez.png,Activo
17,U00000018,edgar.páez@educacion.edu.ec,7840*4822,https://www.mcb.edu.ec/edgar_páez.png,Activo
18,U00000019,lida_herrera@educacion.edu.ec,5527*2290,https://www.mcb.edu.ec/lida_herrera.png,Inactivo
19,U00000020,diego.romero@educacion.edu.ec,5100*2398,https://www.mcb.edu.ec/diego_romero.png,Activo
20,U00000021,yeny.ortiz@educacion.edu.ec,8126*9927,https://www.mcb.edu.ec/yeny_ortiz.png,Inactivo
21,U00000022,catherine.navarro@educacion.edu.ec,409*5314,https://www.mcb.edu.ec/catherine_navarro.png,Inactivo
22,U00000023,wilson.cano@educacion.edu.ec,3190*8800,https://www.mcb.edu.ec/wilson_cano.png,Inactivo
23,U00000024,luis_domínguez@educacion.edu.ec,4178*1707,https://www.mcb.edu.ec/luis_domínguez.png,Inactivo
24,U00000025,paola_orjuela@educacion.edu.ec,7319*3170,https://www.mcb.edu.ec/paola_orjuela.png,Inactivo
25,U00000026,luis.marín@educacion.edu.ec,9194*1394,https://www.mcb.edu.ec/luis_marín.png,Inactivo
26,U00000027,nancy_moreno@educacion.edu.ec,3688*3708,https://www.mcb.edu.ec/nancy_moreno.png,Inactivo
27,U00000028,santiago_valencia@educacion.edu.ec,4375*9639,https://www.mcb.edu.ec/santiago_valencia.png,Activo
28,U00000029,alex.cárdenas@educacion.edu.ec,8272*5314,https://www.mcb.edu.ec/alex_cárdenas.png,Activo
29,U00000030,marlene.ceballos@educacion.edu.ec,1367*7186,https://www.mcb.edu.ec/marlene_ceballos.png,Activo
30,U00000031,carmen.parra@educacion.edu.ec,7172*314,https://www.mcb.edu.ec/carmen_parra.png,Activo
31,U00000032,marcela_salazar@educacion.edu.ec,6593*2884,https://www.mcb.edu.ec/marcela_salazar.png,Inactivo
32,U00000033,josé.ávila@educacion.edu.ec,5882*263,https://www.mcb.edu.ec/josé_ávila.png,Activo
33,U00000034,dario_castro@educacion.edu.ec,4939*4951,https://www.mcb.edu.ec/dario_castro.png,Activo
34,U00000035,juan_rodríguez@educacion.edu.ec,8888*5474,https://www.mcb.edu.ec/juan_rodríguez.png,Inactivo
35,U00000036,sandra.amaya@educacion.edu.ec,9238*5773,https://www.mcb.edu.ec/sandra_amaya.png,Inactivo
36,U00000037,andrés_buitrago@educacion.edu.ec,3118*8963,https://www.mcb.edu.ec/andrés_buitrago.png,Activo
37,U00000038,luis_valencia@educacion.edu.ec,6695*1107,https://www.mcb.edu.ec/luis_valencia.png,Inactivo
38,U00000039,julia_orozco@educacion.edu.ec,1879*5659,https://www.mcb.edu.ec/julia_orozco.png,Inactivo
39,U00000040,andrés.beltrán@educacion.edu.ec,4390*8700,https://www.mcb.edu.ec/andrés_beltrán.png,Inactivo
40,U00000041,paula.acosta@educacion.edu.ec,5814*411,https://www.mcb.edu.ec/paula_acosta.png,Activo
41,U00000042,luis_mejía@educacion.edu.ec,3147*26,https://www.mcb.edu.ec/luis_mejía.png,Activo
42,U00000043,amparo_monsalve@educacion.edu.ec,1986*8998,https://www.mcb.edu.ec/amparo_monsalve.png,Inactivo
43,U00000044,graciela_uribe@educacion.edu.ec,2692*5182,https://www.mcb.edu.ec/graciela_uribe.png,Inactivo
44,U00000045,raúl_sánchez@educacion.edu.ec,9066*3869,https://www.mcb.edu.ec/raúl_sánchez.png,Inactivo
45,U00000046,daniel.garcía@educacion.edu.ec,4090*2394,https://www.mcb.edu.ec/daniel_garcía.png,Inactivo
46,U00000047,alfredo.camacho@educacion.edu.ec,3257*8706,https://www.mcb.edu.ec/alfredo_camacho.png,Inactivo
47,U00000048,francisco_pérez@educacion.edu.ec,9535*929,https://www.mcb.edu.ec/francisco_pérez.png,Inactivo
48,U00000049,antonio.ruiz@educacion.edu.ec,9730*437,https://www.mcb.edu.ec/antonio_ruiz.png,Activo
49,U00000050,yadira.sánchez@educacion.edu.ec,3147*1478,https://www.mcb.edu.ec/yadira_sánchez.png,Inactivo
50,U00000051,nora_jiménez@educacion.edu.ec,8170*2371,https://www.mcb.edu.ec/nora_jiménez.png,Activo
51,U00000052,arley_rengifo@educacion.edu.ec,7637*2746,https://www.mcb.edu.ec/arley_rengifo.png,Activo
52,U00000053,ana_hernández@educacion.edu.ec,2500*1393,https://www.mcb.edu.ec/ana_hernández.png,Inactivo
53,U00000054,patricia.ocampo@educacion.edu.ec,7511*4072,https://www.mcb.edu.ec/patricia_ocampo.png,Activo
54,U00000055,clara.cárdenas@educacion.edu.ec,8383*7249,https://www.mcb.edu.ec/clara_cárdenas.png,Inactivo
55,U00000056,antonio.mena@educacion.edu.ec,2128*6112,https://www.mcb.edu.ec/antonio_mena.png,Activo
56,U00000057,adriana_loaiza@educacion.edu.ec,2163*4142,https://www.mcb.edu.ec/adriana_loaiza.png,Inactivo
57,U00000058,nury.garcía@educacion.edu.ec,4825*1131,https://www.mcb.edu.ec/nury_garcía.png,Inactivo
58,U00000059,césar_sánchez@educacion.edu.ec,800*2625,https://www.mcb.edu.ec/césar_sánchez.png,Inactivo
59,U00000060,paola.pedraza@educacion.edu.ec,4978*3084,https://www.mcb.edu.ec/paola_pedraza.png,Inactivo
60,U00000061,carmen.gómez@educacion.edu.ec,2032*4479,https://www.mcb.edu.ec/carmen_gómez.png,Inactivo
61,U00000062,olga.zuluaga@educacion.edu.ec,6736*5097,https://www.mcb.edu.ec/olga_zuluaga.png,Activo
62,U00000063,diego.medina@educacion.edu.ec,2770*6720,https://www.mcb.edu.ec/diego_medina.png,Inactivo
63,U00000064,luisa.beltrán@educacion.edu.ec,6900*1237,https://www.mcb.edu.ec/luisa_beltrán.png,Activo
64,U00000065,didier_arrieta@educacion.edu.ec,9426*1070,https://www.mcb.edu.ec/didier_arrieta.png,Activo
65,U00000066,alexander_duque@educacion.edu.ec,9831*7669,https://www.mcb.edu.ec/alexander_duque.png,Activo
66,U00000067,isidro.león@educacion.edu.ec,2543*6568,https://www.mcb.edu.ec/isidro_león.png,Activo
67,U00000068,augusto.castro@educacion.edu.ec,561*5983,https://www.mcb.edu.ec/augusto_castro.png,Inactivo
68,U00000069,jhon_murillo@educacion.edu.ec,3899*1412,https://www.mcb.edu.ec/jhon_murillo.png,Inactivo
69,U00000070,pablo.rodríguez@educacion.edu.ec,7024*7732,https://www.mcb.edu.ec/pablo_rodríguez.png,Inactivo
70,U00000071,alfredo.díaz@educacion.edu.ec,8143*4252,https://www.mcb.edu.ec/alfredo_díaz.png,Inactivo
71,U00000072,lucía_rojas@educacion.edu.ec,5284*4235,https://www.mcb.edu.ec/lucía_rojas.png,Activo
72,U00000073,omar_mora@educacion.edu.ec,2576*8740,https://www.mcb.edu.ec/omar_mora.png,Inactivo
73,U00000074,diana.osorio@educacion.edu.ec,9925*534,https://www.mcb.edu.ec/diana_osorio.png,Activo
74,U00000075,alexander_benítez@educacion.edu.ec,1557*8595,https://www.mcb.edu.ec/alexander_benítez.png,Inactivo
75,U00000076,edinson_hoyos@educacion.edu.ec,8200*497,https://www.mcb.edu.ec/edinson_hoyos.png,Activo
76,U00000077,margarita_álvarez@educacion.edu.ec,3676*5532,https://www.mcb.edu.ec/margarita_álvarez.png,Inactivo
77,U00000078,alexander.gómez@educacion.edu.ec,54*4128,https://www.mcb.edu.ec/alexander_gómez.png,Activo
78,U00000079,luis_calderón@educacion.edu.ec,8018*9305,https://www.mcb.edu.ec/luis_calderón.png,Activo
79,U00000080,armando_gonzález@educacion.edu.ec,1243*162,https://www.mcb.edu.ec/armando_gonzález.png,Inactivo
